,TEER Category,NOC Code,Class Title
0,0,10010,Financial managers
1,0,10011,Human resources managers
2,0,10012,Purchasing managers
3,0,10019,Other administrative services managers
4,0,10020,"Insurance, real estate and financial brokerage managers"
5,0,10021,"Banking, credit and other investment managers"
6,0,10022,"Advertising, marketing and public relations managers"
7,0,10029,Other business services managers
8,0,10030,Telecommunication carriers managers
9,0,20010,Engineering managers
10,0,20011,Architecture and science managers
11,0,20012,Computer and information systems managers
12,0,30010,Managers in health care
13,0,40010,Government managers - health and social policy development and program administration
14,0,40011,"Government managers - economic analysis, policy development and program administration"
15,0,40012,Government managers - education policy development and program administration
16,0,40019,Other managers in public administration
17,0,40020,Administrators - post-secondary education and vocational training
18,0,40021,School principals and administrators of elementary and secondary education
19,0,40030,"Managers in social, community and correctional services"
20,0,40040,Commissioned police officers and related occupations in public protection services
21,0,40041,Fire chiefs and senior firefighting officers
22,0,40042,Commissioned officers of the Canadian Armed Forces
23,0,50010,"Library, archive, museum and art gallery managers"
24,0,50011,"Managers - publishing, motion pictures, broadcasting and performing arts"
25,0,50012,"Recreation, sports and fitness program and service directors"
26,0,60010,Corporate sales managers
27,0,60020,Retail and wholesale trade managers
28,0,60030,Restaurant and food service managers
29,0,60031,Accommodation service managers
30,0,60040,Managers in customer and personal services
31,0,70010,Construction managers
32,0,70011,Home building and renovation managers
33,0,70012,Facility operation and maintenance managers
34,0,70020,Managers in transportation
35,0,70021,Postal and courier services managers
36,0,80010,Managers in natural resources production and fishing
37,0,80020,Managers in agriculture
38,0,80021,Managers in horticulture
39,0,80022,Managers in aquaculture
40,0,90010,Manufacturing managers
41,0,90011,Utilities managers
42,1,11100,Financial auditors and accountants
43,1,11101,Financial and investment analysts
44,1,11102,Financial advisors
45,1,11103,"Securities agents, investment dealers and brokers"
46,1,11109,Other financial officers
47,1,11200,Human resources professionals
48,1,11201,Professional occupations in business management consulting
49,1,11202,"Professional occupations in advertising, marketing and public relations"
50,1,21100,Physicists and astronomers
51,1,21101,Chemists
52,1,21102,Geoscientists and oceanographers
53,1,21103,Meteorologists and climatologists
54,1,21109,Other professional occupations in physical sciences
55,1,21110,Biologists and related scientists
56,1,21111,Forestry professionals
57,1,21112,"Agricultural representatives, consultants and specialists"
58,1,21120,Public and environmental health and safety professionals
59,1,21200,Architects
60,1,21201,Landscape architects
61,1,21202,Urban and land use planners
62,1,21203,Land surveyors
63,1,21210,"Mathematicians, statisticians and actuaries"
64,1,21211,Data scientists
65,1,21220,Cybersecurity specialists
66,1,21221,Business systems specialists
67,1,21222,Information systems specialists
68,1,21223,Database analysts and data administrators
69,1,21230,Computer systems developers and programmers
70,1,21231,Software engineers and designers
71,1,21232,Software developers and programmers
72,1,21233,Web designers
73,1,21234,Web developers and programmers
74,1,21300,Civil engineers
75,1,21301,Mechanical engineers
76,1,21310,Electrical and electronics engineers
77,1,21311,Computer engineers (except software engineers and designers)
78,1,21320,Chemical engineers
79,1,21321,Industrial and manufacturing engineers
80,1,21322,Metallurgical and materials engineers
81,1,21330,Mining engineers
82,1,21331,Geological engineers
83,1,21332,Petroleum engineers
84,1,21390,Aerospace engineers
85,1,21399,Other professional engineers
86,1,31100,Specialists in clinical and laboratory medicine
87,1,31101,Specialists in surgery
88,1,31102,General practitioners and family physicians
89,1,31103,Veterinarians
90,1,31110,Dentists
91,1,31111,Optometrists
92,1,31112,Audiologists and speech-language pathologists
93,1,31120,Pharmacists
94,1,31121,Dietitians and nutritionists
95,1,31200,Psychologists
96,1,31201,Chiropractors
97,1,31202,Physiotherapists
98,1,31203,Occupational therapists
99,1,31204,Kinesiologists and other professional occupations in therapy and assessment
100,1,31209,Other professional occupations in health diagnosing and treating
101,1,31300,Nursing coordinators and supervisors
102,1,31301,Registered nurses and registered psychiatric nurses
103,1,31302,Nurse practitioners
104,1,31303,"Physician assistants, midwives and allied health professionals"
105,1,41100,Judges
106,1,41101,Lawyers and Quebec notaries
107,1,41200,University professors and lecturers
108,1,41201,Post-secondary teaching and research assistants
109,1,41210,College and other vocational instructors
110,1,41220,Secondary school teachers
111,1,41221,Elementary school and kindergarten teachers
112,1,41300,Social workers
113,1,41301,Therapists in counselling and related specialized therapies
114,1,41302,Religious leaders
115,1,41310,Police investigators and other investigative occupations
116,1,41311,Probation and parole officers
117,1,41320,Educational counsellors
118,1,41321,Career development practitioners and career counsellors (except education)
119,1,41400,"Natural and applied science policy researchers, consultants and program officers"
120,1,41401,Economists and economic policy researchers and analysts
121,1,41402,Business development officers and market researchers and analysts
122,1,41403,"Social policy researchers, consultants and program officers"
123,1,41404,"Health policy researchers, consultants and program officers"
124,1,41405,"Education policy researchers, consultants and program officers"
125,1,41406,"Recreation, sports and fitness policy researchers, consultants and program officers"
126,1,41407,Program officers unique to government
127,1,41409,Other professional occupations in social science
128,1,51100,Librarians
129,1,51101,Conservators and curators
130,1,51102,Archivists
131,1,51110,Editors
132,1,51111,Authors and writers (except technical)
133,1,51112,Technical writers
134,1,51113,Journalists
135,1,51114,"Translators, terminologists and interpreters"
136,1,51120,"Producers, directors, choreographers and related occupations"
137,1,51121,"Conductors, composers and arrangers"
138,1,51122,Musicians and singers
139,2,12010,"Supervisors, general office and administrative support workers"
140,2,12011,"Supervisors, finance and insurance office workers"
141,2,12012,"Supervisors, library, correspondence and related information workers"
142,2,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations"
143,2,12100,Executive assistants
144,2,12101,Human resources and recruitment officers
145,2,12102,Procurement and purchasing agents and officers
